,Unnamed: 0,sensor_id,location,lat,lon,timestamp,pressure,temperature,humidity
0,1,2266,1140,42.738,23.272,2017-07-01T00:00:07,95270.27,23.46,62.48
1,5,2292,1154,42.663,23.273000000000003,2017-07-01T00:00:08,94355.83,23.06,59.46
2,7,3096,1558,42.7,23.36,2017-07-01T00:00:10,95155.81,26.53,44.38
3,9,3428,1727,42.624,23.406,2017-07-01T00:00:12,94679.57,28.34,38.28
4,10,3472,1750,42.669,23.318,2017-07-01T00:00:13,94327.88,26.31,46.37
5,11,1952,976,42.709,23.398000000000003,2017-07-01T00:00:13,95314.52,22.66,56.55
6,13,1846,923,42.64,23.31,2017-07-01T00:00:15,93616.77,23.87,50.76
7,22,3512,1770,42.683,23.335,2017-07-01T00:00:24,94962.39,24.92,55.53
8,25,2228,1120,42.693000000000005,23.333,2017-07-01T00:00:28,94982.91,26.29,45.7
9,30,3438,1732,42.738,23.293000000000003,2017-07-01T00:00:37,95099.81,24.62,57.97
10,31,1954,977,42.70399999999999,23.354,2017-07-01T00:00:39,95069.55,26.26,44.46
11,32,3620,1824,42.678,23.254,2017-07-01T00:00:40,94447.61,25.27,58.19
12,34,3436,1731,42.693000000000005,23.359,2017-07-01T00:00:42,94944.7,26.57,45.01
13,35,3092,1556,42.666,23.284,2017-07-01T00:00:44,94537.78,24.31,0.0
14,42,2036,1023,42.657,23.349,2017-07-01T00:00:54,94491.45,24.01,51.41
15,43,1962,981,42.69,23.324,2017-07-01T00:00:56,94932.5,25.95,46.26
16,44,3474,1751,42.68,23.293000000000003,2017-07-01T00:00:58,94621.91,26.7,49.18
17,47,2232,1122,42.685,23.301,2017-07-01T00:01:08,94683.96,25.92,50.87
18,48,2607,1313,42.66,23.319000000000003,2017-07-01T00:01:09,94426.63,24.23,56.28
19,51,2224,1118,42.651,23.335,2017-07-01T00:01:17,94441.33,24.99,49.53
20,52,3738,1884,42.7,23.332,2017-07-01T00:01:17,95210.2,27.8,42.03
21,53,3102,1561,42.665,23.392,2017-07-01T00:01:21,95039.95,25.99,43.24
22,56,2040,1025,42.68600000000001,23.351,2017-07-01T00:01:23,94946.73,25.64,46.25
23,61,2216,1114,42.664,23.373,2017-07-01T00:01:29,94773.52,26.79,42.78
24,65,3432,1729,42.71,23.419,2017-07-01T00:01:32,95330.52,24.79,52.6
25,66,2294,1155,42.645,23.265,2017-07-01T00:01:34,92616.37,24.12,45.73
26,68,2230,1121,42.692,23.332,2017-07-01T00:01:35,95067.16,27.68,45.6
27,72,2264,1139,42.67100000000001,23.31,2017-07-01T00:01:41,94748.38,24.99,58.61
28,73,1850,925,42.677,23.311,2017-07-01T00:01:42,94827.42,24.6,58.12
29,79,2234,1123,42.685,23.356,2017-07-01T00:01:50,94903.91,27.97,39.41
30,81,3558,1793,42.67100000000001,23.364,2017-07-01T00:01:56,94789.7,26.69,40.99
31,83,2262,1138,42.691,23.324,2017-07-01T00:02:04,94858.89,26.15,45.96
32,86,1764,879,42.622,23.366,2017-07-01T00:02:09,93920.2,24.65,47.32
33,94,3836,1933,42.702,23.371,2017-07-01T00:02:23,95303.79,23.92,54.59
34,96,2038,1024,42.694,23.32,2017-07-01T00:02:24,95033.08,29.06,39.44
35,97,2323,1172,42.68600000000001,23.4,2017-07-01T00:02:24,95161.97,24.18,52.0
36,102,2266,1140,42.738,23.272,2017-07-01T00:02:33,95266.66,23.37,63.4
37,105,2292,1154,42.663,23.273000000000003,2017-07-01T00:02:34,94351.41,23.14,59.66
38,109,3096,1558,42.7,23.36,2017-07-01T00:02:38,95156.86,26.51,44.41
